Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,58,5,25 to 34 years,P3,Parkside,February,2016,z,email,true,2015,true,
0,ADULT,10,12,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2015,false,6
3,SENIOR,17,0,65 to 74 years,V3,Visitacion Valley,July,2013,p,phone,false,2011,false,10
0,ADULT,7,11,35 to 44 years,X,Main Library,November,2013,a,print,false,2010,false,9
3,SENIOR,3,0,65 to 74 years,X,Main Library,September,2010,z,email,true,2003,false,5
0,ADULT,48,24,20 to 24 years,C2,Chinatown,December,2014,z,email,true,2011,false,3
0,ADULT,81,10,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,8
0,ADULT,43,25,25 to 34 years,X,Main Library,May,2016,z,email,true,2014,false,6
0,ADULT,2,0,35 to 44 years,B4,Bernal Heights,May,2014,p,phone,true,2014,false,
0,ADULT,64,92,45 to 54 years,M6,Mission,April,2014,z,email,true,2012,false,11
0,ADULT,135,9,35 to 44 years,W4,Western Addition,May,2015,z,email,true,2013,false,1
0,ADULT,4,3,20 to 24 years,B4,Bernal Heights,July,2016,z,email,true,2014,false,9
0,ADULT,8,1,35 to 44 years,P7,Potrero,July,2013,z,email,true,2011,false,10
0,ADULT,0,0,45 to 54 years,P7,Potrero,None,None,p,phone,false,2007,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,true,2016,false,10
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,true,2016,false,10
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,true,2016,false,10
0,ADULT,51,6,45 to 54 years,S7,Sunset,September,2014,p,phone,false,2013,false,4
0,ADULT,12,17,60 to 64 years,S7,Sunset,March,2010,z,email,true,2009,false,7
0,ADULT,6,0,35 to 44 years,B2,Bayview/Linda Brooks-Burton,February,2016,p,phone,true,2016,false,10
0,ADULT,4,3,25 to 34 years,R3,Richmond,April,2016,z,email,true,2015,false,1
3,SENIOR,18,19,65 to 74 years,I5,Ingleside,September,2014,p,phone,false,2006,false,7
3,SENIOR,2163,2238,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
